source,destination,weight,line
East Ham, Barking, 3, District
Barking, Upney, 2, District
Upney, Becontree, 2, District
Becontree, Dagenham Heathway, 2, District
Dagenham Heathway, Dagenham East, 2, District
Dagenham East, Elm Park, 2, District
Elm Park, Hornchurch, 2, District
Hornchurch, Upminster Bridge, 2, District
Upminster Bridge, Upminster, 2, District
Stanmore, Canons Park,1, Jubilee
Canons Park, Queensbury, 2, Jubilee
Queensbury, Kingsbury, 3,Jubilee
Kingsbury, Wembley Park, 4, Jubilee  
Wembley Park, Neasden, 3, Jubilee
Neasden, Dollis Hill, 1, Jubilee
Dollis Hill, Wilesden Green, 3, Jubilee
Wilesden Green, Kilburn, 1, Jubilee
Kilburn, West Hampstead, 2, Jubilee
West Hampstead, Finchley Road, 2, Jubilee    
Finchley Road, Swiss Cottage, 1, Jubilee
Swiss Cottage, St. John's Wood, 2, Jubilee
St. John's Wood, Baker Street, 2, Jubilee
Baker Street, Bond Street, 3, Jubilee
Bond Street, Green Park, 2, Jubilee
Green Park, Westminster, 2, Jubilee
Westminster, Waterloo, 2, Jubilee
Waterloo, Southwark, 1, Jubilee
Southwark, London Bridge, 2, Jubilee
London Bridge, Bermondsey, 2, Jubilee
Bermondsey, Canada Water, 2, Jubilee
Canada Water, Canary Wharf, 2, Jubilee
Canary Wharf, North Greenwich, 3, Jubilee
North Greenwich, Canning Town, 2, Jubilee
Canning Town, West Ham, 3, Jubilee
West Ham, Stratford, 4, Jubilee
Aldgate, Liverpool Street, 2, Metropolitan
Liverpool Street, Moorgate, 2, Metropolitan
Moorgate, Barbican, 1, Metropolitan
Barbican, Farringdon, 2 , Metropolitan
Farringdon, King's Cross St Pancras, 3, Metropolitan
King's Cross St Pancras, Euston Square, 2, Metropolitan
Euston Square, Great Portland Street, 2, Metropolitan
Great Portland Street, Baker Street, 2, Metropolitan
Baker Street, Finchley Road, 6, Metropolitan
Finchley Road, Wembley Park, 7, Metropolitan
Wembley Park, Preston Road, 3, Metropolitan
Preston Road, Northwick Park, 2, Metropolitan
Northwick Park, Harrow on the Hill, 3, Metropolitan
Harrow on the Hill, North Harrow, 3, Metropolitan
Harrow on the Hill, West Harrow, 2, Metropolitan
North Harrow, Pinner, 2, Metropolitan
Pinner, Northwood Hills, 3, Metropolitan
Northwood Hills, Northwood, 2, Metropolitan
Northwood, Moor Park, 3, Metropolitan
Moor Park, Croxley, 4, Metropolitan
Moor Park, Rickmansworth, 4, Metropolitan
Croxley, Watford, 3, Metropolitan
Rickmansworth, Chorleywood, 4, Metropolitan
Chorleywood, Chalfont & Latimer, 4, Metropolitan
Chalfont & Latimer, Amersham, 4, Metropolitan
Chalfont & Latimer, Chesham, 8, Metropolitan
West Harrow, Rayners Lane, 3, Metropolitan
Rayners Lane, Eastcote, 2, Metropolitan
Eastcote, Ruislip Manor, 2, Metropolitan
Ruislip Manor, Ruislip, 2, Metropolitan
Ruislip, Ickenham, 3, Metropolitan
Ickenham, Hillingdon, 2, Metropolitan
Hillingdon, Uxbridge, 3, Metropolitan
